id,title,artist,album,genre,danceability,energy,valence,acousticness,tempo_bpm,mood
566HVrHXG5v57lFbVNBJak,Mi Frikimundo,Porta,No Hay Truco (Maqueta 2007),spanish,0.712,0.734,0.93,0.229,83.699,happy
5fWG4JDot8nHCte7gUdMUS,Pepas - David Guetta Remix - Radio Edit,Farruko;David Guetta,Pepas (David Guetta Remix - Radio Edit),reggaeton,0.632,0.952,0.098,0.0122,126.967,intense
7otdKb40Sx35ESUDzEdU1p,Never Going Home,Kungs,Night Drive Autumn/Winter 2022/23,house,0.839,0.842,0.96,0.0868,122.028,happy
0OK0R0smXIhO9HvNH64JcC,"The Fairy Ring, Part 1 - Remastered",Mike Rowland,The Fairy Ring (Remastered),new-age,0.0852,0.258,0.0395,0.206,84.511,sad
0wXK5IepYKg2qfpCAoSsqC,The Same Graceful Wind,Vanna,A New Hope,metalcore,0.345,0.988,0.11,0.000379,124.741,intense
7eUZu9C4NSLbD9mRlSpvYu,Bahay Kubo,Lea Salonga,Bahaghari,show-tunes,0.483,0.265,0.445,0.976,119.583,chill
32KpVkEKmO5g0t68o1gq23,Rhythm (Of The Night) [ASOT 1090] [Progressive Pick],Something Good,ASOT 1090 - A State Of Trance Episode 1090,trance,0.571,0.909,0.181,0.00022,125.989,intense
1aQjSuo7Oul4A51k6dQxAp,Here For You,Gorgon City;Laura Welsh,Halloween & Chill,garage,0.655,0.678,0.32,0.0248,121.978,chill
34srI0VWaGbqcaAu2TAtli,Kaunein katse,Jaska Mäkynen,Espanjan Yöt,tango,0.518,0.554,0.483,0.358,94.991,chill
1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,Calle 13 (Explicit Version),afrobeat,0.829,0.878,0.883,0.0959,87.991,happy
4GF8TVlUq9ptfdbK3F7kEd,Beguine dodói,Elis Regina,Chill in Brazil,jazz,0.728,0.333,0.399,0.69,111.673,sad
0KpAm8TtyHPZmxdPO7npYO,we made it.,david hugo,Blossom Hill,indie-pop,0.653,0.515,0.674,0.0706,176.05,chill
1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,"Butter (Hotter, Sweeter, Cooler)",k-pop,0.759,0.459,0.695,0.00323,109.997,chill
0IOaug54ZnASgjgPl8IJlq,"О, позабудь!",Тамара Церетели,Осенний романс,romance,0.41,0.186,0.339,0.982,73.266,sad
6cBrYEOStiv0YtmvGraUog,Puente Alsina,Osvaldo Pugliese;Jorge Vidal,Ausencia,tango,0.489,0.256,0.511,0.932,96.323,chill
0D3J5hfXcaQLeMmZVxD4S7,Minha Fé,Gerson Rufino,Homem Invisível,gospel,0.572,0.495,0.21,0.252,135.87,chill
5yEIpnRU3WQmAWoOMP8ge9,Turnin' Me Up,BJ The Chicago Kid,Autumn Girl,soul,0.731,0.79,0.879,0.0429,78.506,happy
7LHaRfgjJzOEzvnAZVxxtR,好久不見,Eason Chan,認了吧,mandopop,0.312,0.242,0.113,0.772,114.469,sad
311q3StU6e78qyti2HhaS2,Lullaby,Sleeping At Last,Lullaby,ambient,0.495,0.0647,0.249,0.967,118.967,sad
6X8jY9ucVRdfd3gO5WChAR,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265/300e: Var. 8",Wolfgang Amadeus Mozart;Jan Lisiecki,Mozart - A Classical Dawn,classical,0.459,0.0757,0.395,0.995,117.11,sad
6F4zAdEznwkmn8MHJtcjtT,Zica Vai Lá - Live,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),afrobeat,0.374,0.934,0.389,0.058,167.661,intense
2EiVLz6irHr0sYvhiHubCh,Caixa de Saudade - Ao Vivo,Kevi Jonny,Caixa de Saudade (Ao Vivo),forro,0.55,0.665,0.643,0.301,143.441,chill
0dY1cTuq44STBXfrXbKlA7,Salon in der Hofburg,Jubiläumscast Wien 2012,Elisabeth - Gesamtaufnahme Live - Jubiläumsfassung,show-tunes,0.583,0.35,0.685,0.798,129.895,relaxed
0gYcGFMdgipfimvC5KvYdm,Everything but You,Clean Bandit;A7S,I'm Blue - Hits of 2022,house,0.679,0.764,0.471,0.031,124.977,chill
29MNXSZGC5vL3ej4qewiFZ,Need Some1,The Prodigy,No Tourists,breakbeat,0.398,0.988,0.0961,0.0517,184.076,intense
1Jj6MF0xDOMA3Ut2Z368Bx,Time After Time,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),disco,0.724,0.436,0.324,0.576,130.439,chill
44h041D14k51xKXPG0KztZ,J'attends un miracle,Swift Guad,La chute des corps,french,0.55,0.522,0.63,0.739,76.603,chill
6S1G1YciJfoW5wRzMio6Ll,Hiroshima,Agnes Nunes;Neo Beats,Hiroshima,mpb,0.698,0.358,0.3,0.396,107.052,sad
7oNkfgXQ8vkprDPQFDsxUS,New Money,Popcaan;Louie Vito,New Money - Single,j-dance,0.494,0.63,0.667,0.104,179.304,chill
6V6NyqSDWLqtJinNR9EtvQ,Orgasmusik,Fäaschtbänkler,Orgasmusik,party,0.703,0.749,0.825,0.0644,125.978,happy
0B20hWBraHLh8d8GEedTX2,Zombie,The Cranberries,90's Music Grandi Successi,rock,0.252,0.738,0.256,0.0145,165.187,intense
0K44Tg7YUxocXe237lbwkO,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber;Usher,Holidays Are Coming,pop,0.533,0.426,0.152,0.46,103.267,chill
16uXRCvEKCwATSpmzq5rqE,Tuuduuu - Original Mix,Frontliner,Scantraxx 033,hardstyle,0.726,0.896,0.272,0.0148,150.005,intense
1QgtIsGPShntohsJNcLwOQ,Bloodstream,twocolors,Night Drive Autumn/Winter 2022/23,house,0.586,0.715,0.59,0.013,120.971,chill
2KEC0lBoiYo8DAe9072AEs,Fate of the Kingdoms,Ramin Djawadi,"House of the Dragon: Season 1, Episode 9 (Soundtrack from the HBO® Series)",german,0.361,0.0383,0.0387,0.807,110.298,sad
0YIn7WsGky3S0ugXcRaBbR,"Amante, Amiga e Namorada - Ao Vivo",Max e Luan,Esqueminha (Ao Vivo),forro,0.644,0.754,0.655,0.712,154.973,happy
2ccUQnjjNWT0rsNnsBpsCA,Surrender,Cheap Trick,Heaven Tonight,hard-rock,0.524,0.955,0.869,0.00717,133.849,happy
5DH0m3YAECTBEPnu0swBQU,Flowering,Stapes,Flowering,chill,0.454,0.243,0.239,0.283,82.923,sad
6vmdV1NsKisfobiqyg2kG3,Pushed Again,Die Toten Hosen,Alles aus Liebe: 40 Jahre Die Toten Hosen,punk,0.354,0.736,0.208,0.0202,114.22,intense
4EAJpL69BNHitVKbebzScl,Los Lagos De Chile,Silvia Infantas Y Los Condores,Chile Tipico Vol.4 Rio Rio,folk,0.733,0.612,0.801,0.693,117.132,chill
5RAmwjg1kd8zrRM5h8hkaI,Box Beat,Boogie T;Dirt Monkey;Honeycomb,Joint Force EP,dubstep,0.51,0.93,0.538,0.0158,92.881,chill
3QgaD0gmVY1TdvwgM7KKFQ,Monster Boogie,The Laurie Berkner Band,Para pedir dulces,children,0.751,0.379,0.801,0.698,109.521,relaxed
0veda7gIbScyRAp2fWjDQh,Yennai Maatrum Kadhale,Anirudh Ravichander;Sid Sriram,Wunderboy Anirudh,hip-hop,0.515,0.766,0.346,0.464,112.466,intense
3Ma7En4uWNtzGAhXHVfmCY,"Rudolph, The Red Nosed Reindeer",The Platters,A Very 60s Christmas,rockabilly,0.576,0.682,0.919,0.726,145.274,chill
5iCY0TXNImK4hyKfcplQsg,Baarishein,Anuv Jain,Baarishein,singer-songwriter,0.475,0.124,0.19,0.926,94.42,sad
4PXnwRGWH9VKDxdf09JV6e,Barrio De Tango,Roberto Goyeneche,Uno,tango,0.548,0.341,0.418,0.772,114.007,chill
0NHlPYnisv4NcPCa4a6qcG,Vinayagane Vinai Theerpavane Revival,Sirkazhi Govindarajan,Vinayagar - Murugan Songs Tamil Devotionl -Revival,indian,0.42,0.666,0.653,0.818,99.91,chill
2yJEv3BkrYnYb3Qh0vmc8C,Mambalamam Mambalam Mango Song,ChuChu TV,"ChuChu TV Tamil Rhymes & Songs for Children, Vol. 1",children,0.703,0.485,0.905,0.00978,79.575,chill
25ysC9uw0bpwgcxOhnrwjk,Adelphi '88 (Tritonia 400),Tritonal,Tritonia 400,dub,0.543,0.97,0.126,0.00195,122.981,intense
1UYZWCuMG9N2do5ZnvWh9x,Alguém Que Te Faz Sorrir,Fresno,Redenção,emo,0.588,0.507,0.236,0.702,104.012,chill
006tmNZLXEXPqdb23wwSN1,Yemyeşil Bir Deniz,İlhan İrem,Bezginin Gizli Mektupları,turkish,0.486,0.568,0.65,0.652,127.184,chill
5XCL5VUmhLG8h19E0qPLNZ,Lock Me High - Helmut Wintermantel Mix,DI MI DO,"Nature Minimal Tech House, Vol. 3",minimal-techno,0.593,0.931,0.0642,0.00155,123.985,intense
3Y12BrdHQ0oAkPzpsRcbPW,Clothes Dryer and Soothing Brown Noise,Sleep Baby Sleep;Vacuum Cleaner White Noise;Deep Sleep Relaxation;Baby Naptime;Calm Children Collection,Soothing Brown Noise Waves and Calming Ambient Combinations (Loopable and without Fade),sleep,0.398,0.868,0.149,0.276,97.29,intense
6xGPtVVjD3ZzdxxOIbOm7a,Trodding,Horace Andy,Serious Times,dub,0.755,0.458,0.518,0.0937,77.724,chill
16FoyabyqWiC4G0crZDt5Y,Hush,Lasse Lindh,"Guardian (Original Television Soundtrack), Pt. 3",swedish,0.646,0.311,0.305,0.917,130.018,sad
7IMmfaOsJemYqmGqUfLOHc,Ven Devórame Otra Vez,Lalo Rodriguez,Salsa x siempre,salsa,0.704,0.719,0.961,0.633,84.417,happy
7hbAuG4CFb8ee6IOBKKdar,A Present for a Young Traveller,Sebastian Plano,Klassische Weihnachtsmusik,ambient,0.167,0.282,0.0405,0.97,148.711,sad
342MrQja9hV0VipxM0iuNr,É da Nossa Cor,Maga Bo;Mestre Camaleão,Quilombo do Futuro,afrobeat,0.668,0.873,0.771,0.422,116.968,happy
2mSKIcHpIXuytBvPKP1h7w,Treat Me Right - Nikko Culture Remix,Pete Bellis & Tommy;Nikko Culture,Top Tunes,groove,0.728,0.8,0.248,0.0367,119.99,intense
485O86RGOuDLnkfJkICiUC,Deva Deva (Telugu),Pritam;Sreerama Chandra;Arijit Singh;Jonita Gandhi,Brahmastra (Telugu) [Original Motion Picture Soundtrack],indian,0.559,0.709,0.417,0.664,112.01,chill
4eOYsoxVzs3tMznRzgjZ2D,Serenity Rain,Nature Sounds,Sleep Rain Sounds,sleep,0.497,0.988,0.00809,0.275,106.261,intense
5g5w8pq89QLOz0psHs8nyW,Jardim,Fraternidade São João Paulo II;Ir. Samuel Maria,Jardim,brazil,0.306,0.356,0.183,0.708,129.991,sad
4KdC1ufeTt40l0agjHZXSB,captain ginger,meadowzz,brooklyn knows best,study,0.758,0.357,0.352,0.703,94.007,sad
0rFdbImiFCvAY8jD2aE391,Vizhigalile,V. Selvaganesh;Karthik;Chinmayi,Kulla Nari Kootam (Original Motion Picture Soundtrack),indian,0.612,0.518,0.527,0.639,159.894,chill
3HaAS5MOzW1SubBE0wVB2y,"Wenn nicht jetzt, wann dann?",Höhner,Karneval 2022 100%,party,0.681,0.923,0.786,0.0729,105.002,happy
0n49DnBtPTD0DwpNHLrREI,Ethereal,XERXES THE DARK,Tomb of Seers,iranian,0.0615,0.157,0.0318,0.524,66.906,sad
7xLfz26gfcOPIe93h6Lxa6,Nayab,Nikhil Swaroop,Nayab,songwriter,0.601,0.128,0.388,0.902,142.761,sad
0Hg6cD0VepM1bnjl0lObQ3,Brothers Unite,Brothers of Metal,Emblas Saga,heavy-metal,0.476,0.713,0.564,0.000838,183.032,chill
3AJmjefnCKNq2Vtib5qQSE,I'm The One - Tyron Hapi Remix,Junge Junge;Tyron Hapi,I'm The One (Remixes),deep-house,0.472,0.566,0.266,0.0749,100.095,chill
44ZcbH1W8X5OXc7ZQyKNVw,Loco Contigo,DJ Snake;J Balvin;Tyga,Esto me suena a Farra,electronic,0.827,0.757,0.374,0.283,95.983,intense
704LUEih663hiE3CnyUrFW,SEJODIOTO,KAROL G,SEJODIOTO,reggaeton,0.822,0.736,0.679,0.157,175.93,happy
3D1PuFi2U8lmtdWRZcCz1f,Body Terror Song,AJJ,Good Luck Everybody,acoustic,0.507,0.399,0.225,0.871,115.588,sad
1eh0KNddkwlXjI8c5H6K3j,Tu Cuerpo Me Arrebata,Don Omar;Trebol Clan,Perreo Tenebroso Vol. 3,hip-hop,0.819,0.645,0.724,0.232,94.998,chill
3pbSo0j9RmC6hBmqsC3kmH,Boulevard of Broken Dreams,Hanoi Rocks,Two Steps From The Move,hard-rock,0.421,0.924,0.629,0.00139,137.28,happy
0JlGCjYcS1DZYcOoUwLsI8,Die Wüste lebt,Peter Schilling,Fehler Im System,synth-pop,0.653,0.67,0.471,0.013,180.056,chill
0hulgYglBnlZ6a1uaiJYIM,Woo Woo,Sheryl Crow,Good Times Country,singer-songwriter,0.681,0.69,0.904,0.486,155.985,chill
4ZDzmEYt23qDf1MAuOe4vR,Sunset,Larry Heard,"Dance 2000, Part 2",chicago-house,0.828,0.561,0.728,0.00215,120.04,chill
0I10YQIht7W3fPvLlhQvkL,In Rave We Trust - Amateur Hour,Scooter,Scooter Forever,hardcore,0.567,0.915,0.546,0.00094,145.018,chill
7MWijfKFjQbpMHvhJBWWQt,Last Thing I'll Ever Need,Loren Allred,Last Thing I'll Ever Need,show-tunes,0.446,0.306,0.272,0.732,121.583,sad
1jmk1hq69kVe0EjX1OSyFe,You're Not Pretty but You Got It Goin' On,Band Of Skulls,Sweet Sour,garage,0.283,0.872,0.337,0.00991,160.524,intense
6FBOCvFNx6C0f6tW6WrqoK,Mentally Murdered,Napalm Death,From Enslavement To Obliteration,grindcore,0.177,0.89,0.482,1.3e-06,106.17,chill
1TVf1ZYXnoAPf2tNBwpOEH,Un Beso en Madrid,TINI;Alejandro Sanz,Dulce Balada,latin,0.378,0.619,0.349,0.305,87.387,chill
3LGUsgNrsptmc9SFqVNZyD,Iron Man Armored Adventures Theme,Rooney,Iron Man Armored Adventures Theme,power-pop,0.571,0.891,0.821,0.00114,144.985,happy
7v373TJVKDsnubhoMJ7eA1,Make A Wish,Conjure One;Rhys Fulber,Conjure One,new-age,0.621,0.714,0.415,0.0521,96.014,chill
2UznT9UMFxx41vmzWm5Bmi,The Ar - remastered,Tiamat,Wildhoney (Re-Issue + Bonus) [Remastered],black-metal,0.445,0.882,0.101,0.0253,127.577,intense
6UCpR17pbWqO88Xf7TwZq6,Upon The Horizon,Roman Messer;Joe Jury,Upon The Horizon,trance,0.415,0.99,0.237,0.000418,138.003,intense
5J89CMy1fDUEf73fi6KL9R,"Guitarras, Lloren Guitarras - Remastered",Cuco Sánchez,Viva México (Remastered),guitar,0.608,0.0277,0.314,0.938,109.877,sad
5QVHNa0ppJUOoqSd36ovQS,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh;B Praak,"Pachtaoge (From ""Jaani Ve"")",pop-film,0.515,0.691,0.484,0.624,169.521,chill
4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),acoustic,0.794,0.38,0.617,0.762,114.99,relaxed
6SiIq2zc4Rs1au0gCC7YMO,Anomaly,Noisia,Outer Edges,breakbeat,0.508,0.959,0.149,0.000163,171.905,intense
5JxyDHWj4XMRgvuRzWd9JK,Gateways,Dimmu Borgir,Abrahadabra,black-metal,0.172,0.943,0.15,0.000224,165.144,intense
3sMOYnA1xxqh5OJ3YJK5fu,Nada,Romántica Milonguera,"Romantica Milonguera, Vol. IV",tango,0.408,0.621,0.571,0.749,130.771,chill
3C7nmDDHszTddjFpdPlBvw,Merry Christmas,Bryan Adams,Christmas Classics,songwriter,0.683,0.511,0.598,0.406,109.991,chill
050P0IiF0BUccojgfzHcQm,As Cartas Que Eu Não Mando - Ao Vivo,Leoni,Leoni - Ao Vivo,mpb,0.532,0.47,0.835,0.827,93.951,chill
6EfakWtzal4GMETNR7xymd,Dirge for November,Opeth,Blackwater Park (20th Anniversary Edition),death-metal,0.275,0.377,0.123,0.0124,139.089,sad
2nYuEm5rCCiQWqGgUq5ptt,À plat ventre,ISHA,Labrador bleu,french,0.814,0.586,0.651,0.472,123.989,chill
5tQ2Zd9ZZ80feVfXje7gWk,"The Downeaster 'Alexa' - Live at Yankee Stadium, Bronx, NY - June 1990",Billy Joel,Live at Yankee Stadium,piano,0.396,0.847,0.501,0.0458,93.607,chill
2ZVN8uzgXLzwuCvOzMdn5W,Little Saint Nick - 1991 Remix,The Beach Boys,"It's Christmas, Let's Dance",psych-rock,0.602,0.553,0.971,0.108,130.594,chill
6Ehy8wRUYjAZcMMRCxMZVM,Moving On,Marshmello,Moving On,progressive-house,0.687,0.799,0.67,0.00286,142.0,happy
7Lw7GxtqLCyEa5KJw6CMjS,Let Him Go on Mama,John Hartford,Mark Twang,bluegrass,0.591,0.446,0.833,0.838,112.195,chill
14Pzq35qO07fvKKnST4zYY,You Deserve It All,John Legend,Weihnachten Musik,soul,0.524,0.739,0.48,0.215,83.095,chill
04EtBLFIxbcVt9NdYgcrpF,Redneck,Lamb of God,Sacrament,groove,0.512,0.996,0.0601,5.63e-05,130.931,intense
1Yxukx85EzhKgZpzbNywQv,Não Existe Amor Em SP - Live,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),afrobeat,0.285,0.734,0.243,0.3,140.224,intense
0HtWxjydJ3pEwT5nHJxxZ1,Surrounded (Fight My Battles),Bethel Music;Kari Jobe,Peace,ambient,0.398,0.208,0.132,0.953,129.682,sad
4GtWn0Wi0TnHYPbVmjaTVQ,Aeroscope,VNV Nation,Transnational,industrial,0.561,0.756,0.199,2.56e-05,110.003,intense
5tLMIpf7vZrIuRZPdh243H,Hammer,Loyla Lo,Sun Study,study,0.79,0.218,0.496,0.401,75.093,chill
12eaW6wPDSW4EXNkapb4nK,Slidin',Jason Derulo;Kodak Black,Good Vibes,dance,0.695,0.884,0.803,0.106,100.088,happy
5kCdc14ItHSF6N6rI7wGSX,Bloom,Phaxe;Querox,Bloom,trance,0.727,0.853,0.194,0.00298,136.997,intense
4IGacIfNwkGmpEal7ZuSXm,Crazy life,LOZAREENA,飛べないニケ,j-dance,0.569,0.693,0.369,0.483,79.615,chill
3cGTVw2edl88fQqQXy3m6P,Under the Scars,Burgerkill,Venomous,death-metal,0.528,0.997,0.13,0.000522,139.923,intense
3kIM6HdKsk7iKkOFqdSCoz,Need You,if found,YOU,dubstep,0.512,0.777,0.439,0.0125,150.054,chill
6JgHKt0WwdwlXIht6M0mqa,I'm So Tired,Fugazi,Instrument Soundtrack,punk-rock,0.328,0.13,0.169,0.892,78.454,sad
2WCcNcnj6YIiKTNMmQiBKI,Gotta Give Me,Saco;Sebastiën,Gotta Give Me,french,0.864,0.707,0.721,0.469,115.034,happy
2z5zyZaP6J9sh74mMKytUo,Ammunition,Krewella,Ammunition,dubstep,0.509,0.761,0.344,0.0991,144.974,intense
5GQu9ALTmhmLggqUb9HTL8,DROGEN,JPD,DROGEN,german,0.583,0.405,0.185,0.908,143.555,chill
7lTWdUAtKRdaRS0UbQD9y7,Morado,J Balvin,Noche de Halloween Latino,reggae,0.881,0.696,0.781,0.136,97.002,chill
29wJiSQcze8HEmxkUQykyp,Carrie,Europe,The Final Countdown (Expanded Edition),hard-rock,0.455,0.487,0.139,0.114,136.482,chill
1zzwcBhUh3TqB2sVJWH84i,Summer Of '69,Bryan Adams,Rock Workout 2023,rock,0.5,0.908,0.744,0.0166,138.834,happy
3DWkYRm35UkcM1V0icj6lo,Sun Lo Na,Suzonn,Sun Lo Na,indian,0.713,0.236,0.647,0.886,139.75,relaxed
2tKXrorgfX5RzIyuHlv8Dn,8-Track,Drumattic Twins,Heads Up High / 8-Track,breakbeat,0.677,0.931,0.962,0.000879,131.941,happy
3b7OG6vJYLvLw5cD2vJGiJ,David Byrne's Badside,Courting,David Byrne's Badside,psych-rock,0.328,0.906,0.571,0.00133,149.674,chill
2A5wg4aSc7X1Ej2fnOBJ9n,Loneliest Time Of Year,Mabel,Christmas Songs 2022,house,0.517,0.609,0.239,0.0631,92.093,chill
4HrUDgx9kHWuIeNCwbPxey,I'll Keep You Safe,Sarah Meow;Shiloh,Safe.,chill,0.758,0.206,0.389,0.922,115.008,sad
2koESjC2WBc6qmfg0dmTRt,Her,eery,Her,chill,0.665,0.394,0.499,0.813,82.067,chill
6qkoo6SQru2khgh87tarNT,Aamar Motey,Anupam Roy,Dwitiyo Purush,indie-pop,0.75,0.373,0.61,0.755,105.045,relaxed
6rzkGvobI2YxEtZud2lOvQ,We have fun,LooLoo Kids,We have fun,children,0.802,0.569,0.653,0.123,129.995,chill
3jMy7ITBiLgVwC15RBK9Hp,Once Upon a December,Christy Altomare,Anastasia (Original Broadway Cast Recording),show-tunes,0.166,0.288,0.0748,0.917,174.166,sad
1pkTvuXbKr4upKDTE67Nnb,Sugar,Surf Curse,Magic Hour,punk,0.611,0.695,0.699,0.112,121.347,chill
2lhWOCEHyh6mjIA1sK1RcU,Ready Or Not - Radio Edit,Cascada,Evacuate The Dancefloor,techno,0.627,0.988,0.497,0.00253,145.014,chill
18cXHds9l6ZlzXgO78D2aW,Communications from the Lab,Laurent Garnier,Unreasonable Behaviour,minimal-techno,0.549,0.694,0.122,0.00072,196.112,chill
6ael0a5FVQXGupOfzpkoOB,Milagres - Acústico,Lukas Agustinho,Milagres (Acústico),brazil,0.246,0.26,0.129,0.776,90.369,sad
0JhgYG57glAanBfyxs8ziA,One Cold Day,Lacuna Coil,Broken Crown Halo,goth,0.183,0.793,0.163,0.00197,89.238,intense
20GcfxNGnwLuhuRPkigmSX,No Nation On This Earth,Primordial,To the Nameless Dead,black-metal,0.0954,0.869,0.137,3.2e-06,89.08,intense
7bHF1evAhX18G3BdKLblFH,YVGN (#hot16challenge2),Milion Plus;Jickson,#hot16challenge2,emo,0.934,0.539,0.831,0.0665,130.019,chill
3PB2otu6Z5yToA9irqF1fN,Let's Make Love,Faith Hill;Tim McGraw,Chillin' It - Mellow Day Country,country,0.35,0.459,0.153,0.339,147.035,chill
71ejLHLwmZKf0oL9gaRC8h,Sevemezsin,Pera,En Güzel Mevsimim,turkish,0.558,0.554,0.503,0.0689,144.133,chill
5KteBzvgHmFUGpjJ8iN3XY,Hung,Sound Quelle,Trait,trance,0.743,0.837,0.189,0.00538,119.976,intense
7A7JjdvyB2m3D0fx11SFmf,evergreen,My Little Lover,re:evergreen,j-rock,0.56,0.832,0.41,0.0874,101.896,chill
3y8vOmrtJpdyQ3PkaHQRKm,Remédios Demais,Matanza,Odiosa Natureza Humana,hard-rock,0.359,0.991,0.433,0.000762,181.231,chill
4BxY1gnqICuaP6qg2Nw5HV,La Felicidad Llegó,Alberto Vazquez,La Voz Romántica de Alberto Vazquez,rock-n-roll,0.665,0.454,0.871,0.426,94.482,chill
2wQBzAZdsaqDBbtwBk5MhA,PAPI (feat. Babywine & Alberto Stylee),DJ Nelson;Jose De Las Heras;Alejandro Armes;Babywine;Alberto Stylee,PAPI (feat. Babywine & Alberto Stylee),latino,0.909,0.716,0.417,0.359,105.078,chill
1dHiSGzb9WFtDKnBFJs4KO,Just Say,Coco & Breezy;Tara Carosielli,Just Say,soul,0.83,0.419,0.511,0.0465,119.993,chill
2QFyOnJfJ49OnNgMvKXvTM,Turning Page,Sydney Rose,Turning Page,songwriter,0.404,0.0182,0.114,0.964,109.107,sad
2LGj1sOH9OEN5y1fF3TPoL,How Soon Is Now?,The Smiths,Alternative Rock Mixtape,punk,0.398,0.93,0.73,0.000854,190.84,happy
1KMBAzA8X44WL5RfxkjSsu,FESTA JOVEM,Lagum,MEMÓRIAS (de onde eu nunca fui),mpb,0.819,0.438,0.809,0.378,130.099,chill
55CidrDhSYchvpKfJhe2up,Audio Damage,Future Funk Squad,Audio Damage,breakbeat,0.717,0.875,0.235,0.00112,134.025,intense
01fa0cKL8OFFehwurqdEuC,No 1 Hit Medley,Modern Talking,Back For Good,synth-pop,0.835,0.943,0.886,0.173,116.033,happy
0mpo3w2SHXb3rsfepeG5Pr,You Better Not Think About Me,Hebe Tien,Insignificance,mandopop,0.588,0.405,0.167,0.579,111.76,chill
3rPxhq3V4HtMTtuFP8DqM7,SUMMER TIME LOVE,EXILE,EXILE LOVE,j-pop,0.618,0.935,0.668,0.00667,115.043,happy
7v3No0Ib7ZcvsNOBahkrFZ,I’d Miss You,Flatt Lonesome,Flatt Lonesome,bluegrass,0.671,0.595,0.734,0.709,99.01,chill
6ZIV5osNpt72h70Qsm8OI3,Exorbitant Prices Must Diminish,disrupt,Unrest,grindcore,0.201,0.987,0.305,2.94e-06,111.63,intense
2gBefHZUvwnZBSRNIxHiKY,Led Away,Casino Versus Japan,Suicide by Sun,idm,0.304,0.477,0.0639,0.0771,111.855,chill
2p9P80g69GvL8fcIaBC7nu,Kinare,Mohan Kannan,Queen,indian,0.526,0.464,0.165,0.359,141.934,chill
57eam3uNwTmBwR63dg8noM,Looser Now,Röyksopp,The Understanding,trip-hop,0.711,0.833,0.757,0.0492,119.304,happy
5W349ZV1vTlUduZuVPNmLx,The Only Ones,Melody Club,Goodbye To Romance,synth-pop,0.597,0.928,0.901,0.00365,119.971,happy
